Area, year, population, url
Antrim and Newtownabbey," ""2017/2018"""," ""142492"""," ""https://www.nisra.gov.uk/publications/2018-mid-year-population-estimates-northern-ireland"""
"Armagh City, Banbridge and Craigavon"," ""2017/2018"""," ""214090"""," ""https://www.nisra.gov.uk/publications/2018-mid-year-population-estimates-northern-ireland"""
Belfast," ""2017/2018"""," ""341877"""," ""https://www.nisra.gov.uk/publications/2018-mid-year-population-estimates-northern-ireland"""
Causeway Coast and Glens," ""2017/2018"""," ""144246"""," ""https://www.nisra.gov.uk/publications/2018-mid-year-population-estimates-northern-ireland"""
Derry City and Strabane," ""2017/2018"""," ""150679"""," ""https://www.nisra.gov.uk/publications/2018-mid-year-population-estimates-northern-ireland"""
Fermanagh and Omagh," ""2017/2018"""," ""116835"""," ""https://www.nisra.gov.uk/publications/2018-mid-year-population-estimates-northern-ireland"""
Lisburn and Castlereagh," ""2017/2018"""," ""144381"""," ""https://www.nisra.gov.uk/publications/2018-mid-year-population-estimates-northern-ireland"""
Mid and East Antrim," ""2017/2018"""," ""138773"""," ""https://www.nisra.gov.uk/publications/2018-mid-year-population-estimates-northern-ireland"""
Mid Ulster," ""2017/2018"""," ""147392"""," ""https://www.nisra.gov.uk/publications/2018-mid-year-population-estimates-northern-ireland"""
"Newry, Mourne and Down"," ""2017/2018"""," ""180012"""," ""https://www.nisra.gov.uk/publications/2018-mid-year-population-estimates-northern-ireland"""
Ards and North Down," ""2017/2018"""," ""160864"""," ""https://www.nisra.gov.uk/publications/2018-mid-year-population-estimates-northern-ireland"""
